foodname,allergyName,ConflictCheck
Decide,Latex,True
Yard,Mold,True
Hour,Peanuts,True
Form,Peanuts,True
Mention,Shellfish,True
Couple,Pollen,True
Discuss,Shellfish,True
Attorney,Shellfish,True
Mention,Mold,True
Maybe,Shellfish,True
Always,Latex,True
Whether,Latex,True
Drug,Shellfish,True
Stuff,Dust,True
Owner,Latex,True
Ready,Shellfish,True
Couple,Peanuts,True
Oil,Latex,True
Itself,Latex,True
If,Pollen,True
They,Peanuts,True
Industry,Pollen,True
Entire,Shellfish,True
He,Mold,True
Public,Latex,True
Decision,Pollen,True
Order,Latex,True
However,Mold,True
A,Peanuts,True
Wonder,Peanuts,True
Exactly,Mold,True
Police,Shellfish,True
Model,Dust,True
Lose,Latex,True
Them,Shellfish,True
Medical,Latex,True
City,Latex,True
Buy,Mold,True
Act,Peanuts,True
Before,Latex,True
Form,Dust,True
Home,Latex,True
Decision,Peanuts,True
News,Dust,True
Owner,Mold,True
Crime,Peanuts,True
Wonder,Pollen,True
Medical,Pollen,True
However,Latex,True
Determine,Mold,True
Sister,Dust,True
Allow,Latex,True
Similar,Shellfish,True
Detail,Pollen,True
Reflect,Shellfish,True
Member,Dust,True
Before,Peanuts,True
Wonder,Dust,True
Throw,Dust,True
Drug,Mold,True
However,Dust,True
City,Peanuts,True
Local,Shellfish,True
Crime,Mold,True
Form,Latex,True
Yard,Shellfish,True
Term,Pollen,True
Necessary,Dust,True
Difference,Mold,True
Couple,Mold,True
Necessary,Shellfish,True
Soon,Peanuts,True
Act,Mold,True
Level,Peanuts,True
Drug,Pollen,True
Attorney,Pollen,True
Morning,Mold,True
City,Pollen,True
Similar,Peanuts,True
Especially,Shellfish,True
College,Latex,True
Bar,Shellfish,True
Lose,Dust,True
Money,Mold,True
Police,Mold,True
Father,Peanuts,True
Thing,Latex,True
Make,Peanuts,True
Police,Latex,True
Throw,Pollen,True
Ready,Latex,True
Law,Mold,True
Attorney,Mold,True
Member,Peanuts,True
Finish,Dust,True
Industry,Mold,True
Order,Dust,True
Necessary,Peanuts,True
Morning,Shellfish,True
Cold,Dust,True
Medical,Dust,True
Force,Dust,True
Decide,Shellfish,True
Agent,Pollen,True
Travel,Latex,True
Easy,Pollen,True
Reflect,Dust,True
War,Mold,True
Exactly,Dust,True
Similar,Dust,True
Structure,Pollen,True
Public,Mold,True
Home,Dust,True
Find,Pollen,True
Detail,Peanuts,True
Experience,Dust,True
Claim,Latex,True
Maybe,Pollen,True
Before,Pollen,True
News,Latex,True
Throughout,Peanuts,True
Father,Dust,True
Claim,Pollen,True
Force,Pollen,True
Place,Dust,True
Agent,Mold,True
Structure,Latex,True
Public,Dust,True
He,Shellfish,True
Always,Mold,True
Hour,Pollen,True
Speak,Mold,True
Structure,Peanuts,True
However,Peanuts,True
Throughout,Dust,True
Industry,Dust,True
Cold,Latex,True
Company,Mold,True
He,Dust,True
College,Dust,True
The,Mold,True
If,Latex,True
Left,Mold,True
College,Pollen,True
Member,Latex,True
Admit,Peanuts,True
Discuss,Latex,True
Organization,Shellfish,True
Always,Peanuts,True
Stuff,Pollen,True
Before,Mold,True
Lose,Mold,True
Them,Pollen,True
Ready,Mold,True
Claim,Dust,True
Arm,Shellfish,True
News,Shellfish,True
Back,Dust,True
Them,Latex,True
Throughout,Shellfish,True
Whether,Mold,True
Make,Mold,True
Throughout,Mold,True
Discuss,Pollen,True
Make,Pollen,True
Before,Shellfish,True
Similar,Latex,True
Throw,Latex,True
Thing,Peanuts,True
The,Latex,True
Difference,Dust,True
Act,Pollen,True
Soon,Dust,True
Half,Pollen,True
Speak,Dust,True
Stuff,Mold,True
Similar,Mold,True
American,Pollen,True
Travel,Pollen,True
Organization,Pollen,True
Medical,Mold,True
Reflect,Mold,True
Level,Pollen,True
Admit,Latex,True
Bar,Pollen,True
Yard,Peanuts,True
Account,Pollen,True
A,Dust,True
Similar,Pollen,True
Exactly,Pollen,True
Allow,Shellfish,True
Local,Dust,True
Discuss,Mold,True
Medical,Shellfish,True
Left,Dust,True
Fall,Mold,True
Crime,Latex,True
Organization,Latex,True
Discussion,Pollen,True
Decision,Mold,True
