foodname,foodgroup,calories,protein,fats
Local,Grain,290,11,16
Mention,Vegetable,154,14,11
Wonder,Dairy,228,0,12
Speak,Vegetable,282,15,7
City,Dairy,50,20,17
Couple,Vegetable,278,6,7
Model,Fruit,100,0,0
Arm,Fruit,71,19,17
Force,Dairy,101,1,15
Drug,Fruit,274,12,9
Easy,Vegetable,284,5,3
Soon,Dairy,173,5,9
Account,Dairy,267,2,14
Level,Grain,157,17,3
Difference,Fruit,159,14,3
Act,Fruit,92,4,3
Hour,Vegetable,161,13,1
Father,Protein,140,9,0
Thing,Grain,178,14,18
Form,Protein,295,9,15
Experience,Grain,134,15,9
Left,Protein,195,19,19
Ready,Vegetable,148,1,7
Oil,Grain,169,12,14
Money,Fruit,58,18,19
If,Protein,227,10,9
Them,Fruit,213,4,9
War,Fruit,286,16,0
Medical,Fruit,138,6,0
He,Dairy,97,16,10
Decide,Fruit,225,11,10
Subject,Fruit,296,0,7
Especially,Protein,208,3,16
Claim,Fruit,228,18,2
However,Dairy,123,5,13
Throw,Vegetable,236,4,19
Company,Protein,207,19,3
Look,Dairy,96,14,2
Organization,Protein,192,20,20
Law,Protein,129,6,15
Make,Fruit,105,10,12
Place,Protein,195,0,18
Structure,Dairy,204,1,6
Bar,Dairy,269,8,1
Maybe,Fruit,50,18,9
Determine,Fruit,266,3,17
Base,Dairy,253,2,17
Home,Fruit,217,18,11
Agency,Dairy,132,9,6
Always,Vegetable,86,17,7
Whether,Vegetable,208,1,16
Travel,Grain,110,12,14
Her,Vegetable,91,18,17
Sister,Vegetable,204,0,10
Fall,Dairy,238,2,4
Reflect,Protein,268,10,7
Police,Fruit,256,1,14
Order,Dairy,212,13,4
Admit,Protein,86,11,4
Miss,Vegetable,133,9,3
Throughout,Vegetable,188,12,5
Lose,Dairy,247,6,6
News,Protein,199,3,11
College,Vegetable,70,8,17
Attorney,Dairy,224,4,17
They,Fruit,59,10,5
Term,Protein,160,3,18
Finish,Protein,296,4,9
Find,Vegetable,180,11,12
Sense,Vegetable,122,8,3
Half,Grain,195,20,17
Necessary,Protein,184,11,7
Happen,Fruit,258,11,1
Discuss,Grain,236,19,15
Yard,Grain,166,0,5
Agent,Fruit,94,12,7
Member,Vegetable,81,1,10
Crime,Fruit,194,18,7
A,Fruit,230,5,5
Day,Vegetable,199,11,15
Itself,Vegetable,114,4,20
Cold,Fruit,101,12,15
Back,Vegetable,117,19,19
Similar,Dairy,110,7,17
Decision,Vegetable,277,4,4
Industry,Grain,288,4,17
Exactly,Dairy,158,17,5
Before,Vegetable,80,5,9
The,Fruit,122,6,7
Owner,Dairy,101,1,17
Detail,Fruit,127,14,12
Allow,Grain,205,6,11
Buy,Grain,124,14,15
Discussion,Dairy,128,19,7
American,Grain,249,9,9
Public,Dairy,102,17,3
Entire,Fruit,220,5,19
Morning,Dairy,110,10,5
Audience,Vegetable,286,11,10
Stuff,Dairy,248,19,18
