meal_plan_id,meal_name,foodName1,foodName2
895498,Senior,Morning,Forget
895498,Cultural,Forget,Set
895498,However,Set,Morning
867715,Training,Set,Forget
867715,Whole,Set,Morning
867715,Reveal,Morning,Forget
149176,Off,Forget,Morning
149176,Administration,Forget,Set
149176,Election,Set,Forget
856146,Mouth,Forget,Morning
856146,Thus,Forget,Set
856146,Player,Set,Morning
023959,Left,Set,Morning
018883,Camera,Morning,Forget
996351,Fill,Forget,Set
996351,Boy,Morning,Set
996351,Safe,Forget,Morning
272431,Newspaper,Forget,Set
272431,Former,Forget,Morning
272431,Tend,Set,Forget
731256,Travel,Morning,Forget
731256,Television,Forget,Set
731256,After,Set,Morning
335167,Employee,Set,Morning
043726,Meeting,Morning,Forget
043726,Game,Morning,Set
653839,Worker,Morning,Forget
004755,Turn,Set,Forget
403294,Conference,Morning,Set
403294,Clear,Forget,Set
188129,Risk,Forget,Set
188129,Current,Morning,Forget
188129,Feeling,Forget,Morning
757511,Fight,Forget,Morning
757511,Player,Morning,Set
757511,In,Set,Forget
735584,Tend,Morning,Forget
563429,Alone,Set,Morning
840378,Strategy,Set,Morning
840378,Join,Set,Forget
194480,It,Morning,Set
194480,Mean,Forget,Set
280153,Week,Morning,Forget
280153,Write,Set,Morning
417315,Somebody,Morning,Set
417315,Between,Set,Forget
417315,Six,Set,Morning
192077,Ahead,Forget,Set
035721,Middle,Forget,Morning
035721,Place,Set,Forget
035721,I,Morning,Set
391363,Thought,Morning,Forget
614791,Throw,Forget,Morning
614791,Successful,Morning,Forget
614791,Hear,Set,Morning
617583,Position,Morning,Set
617583,Whatever,Morning,Forget
220221,Material,Forget,Set
220221,Product,Morning,Forget
220221,Evidence,Morning,Set
314923,Vote,Forget,Set
314923,Certainly,Morning,Forget
314923,House,Set,Forget
050583,Family,Morning,Forget
783514,Relationship,Forget,Set
783514,Garden,Morning,Set
783514,Skin,Morning,Forget
377485,Official,Forget,Morning
377485,Agree,Set,Forget
155934,Under,Forget,Set
155934,Entire,Morning,Set
155934,Mission,Set,Forget
691799,Debate,Morning,Forget
261458,Smile,Set,Morning
261458,One,Morning,Set
778845,Financial,Set,Morning
564626,Fish,Morning,Set
532299,Animal,Forget,Morning
532299,Time,Morning,Set
532299,Truth,Set,Forget
872777,Great,Morning,Set
081278,Attorney,Forget,Set
081278,Go,Set,Forget
742862,Gun,Set,Morning
742862,Buy,Forget,Morning
434629,Car,Set,Forget
003012,Kitchen,Forget,Morning
003012,Bank,Set,Morning
606873,Affect,Set,Forget
362223,Open,Forget,Set
362223,Debate,Set,Forget
362223,Everything,Morning,Forget
883037,Impact,Set,Forget
883037,Catch,Set,Morning
883037,Population,Morning,Forget
341882,Class,Morning,Set
341882,Stay,Morning,Forget
957096,Window,Morning,Set
028632,Behavior,Morning,Forget
028632,Sense,Set,Forget
028632,Number,Morning,Set
145220,People,Morning,Forget
